517302,00000000000000000046ea49eea15547e4ed745381f170706377460145b242c5,BTC.com,faq73vj4pcs73thu.onion:8333,xub4w3w4wwk56xiq.onion:8333,jwxyqhp42cmwhqf3.onion:8333,ep2mjzox3kvb6ax4.onion:8333,kxsou2ikl3d4pyhv.onion:8333,fsdtnvc3y25g7xpo.onion:8333,dgs2gvxw4elsayqe.onion:8333,az6wancagfhf65w7.onion:8333,23wdfqkzttmenvki.onion:8333
517301,00000000000000000007ccb07eeca6ab647de287acc636d261a88825e0bae5c3,ViaBTC,18.196.114.205:8333,47.254.131.24:8333,176.9.78.10:8333,[2a01:4f8:150:22ca::2]:8333,176.9.24.206:8333,[2a01:4f8:151:120c::2]:8333,[2a01:4f8:210:5488::2]:8333,46.4.102.164:8002,144.76.136.19:8333,94.130.10.158:8333
517300,000000000000000000438529064b55d7efe9259cae32ac999431b35eb9346927,BTC.com,77.64.185.7:8333,88.196.81.41:8333,115.68.13.45:8333,[2001:41d0:8:8e1c::1]:8333,193.169.244.121:8333,81.5.92.11:8333,185.50.232.114:8333,54.162.81.66:8333,222.239.218.103:8333,116.211.143.12:8333
517299,0000000000000000001f1cd44618fb8d3ed8571051726fd786bff128e9c361e2,BTC.com,ep2mjzox3kvb6ax4.onion:8333,faq73vj4pcs73thu.onion:8333,lvqv5nehy7q472kl.onion:8333,fsdtnvc3y25g7xpo.onion:8333,kxsou2ikl3d4pyhv.onion:8333,5hwqdbwsa55ljmdm.onion:8333,l5oddj46pvoddzd4.onion:8333,226eupdnaouu4h2v.onion:8333
517298,0000000000000000000b05df3746f547aaa7c51d3bf4060a61f8f6f94246ef5c,BTC.com,Not Found
517297,0000000000000000002b521fc3e807cf535a6305d095ec31c7ff51257ce75285,BTC.com,119.28.69.82:8333,[2001:41d0:800:128::]:8333,39.106.51.68:8333,[2001:41d0:303:411c::]:8333,39.106.55.220:8333,94.130.140.225:8333,46.138.151.84:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:192:1191::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
517296,00000000000000000036e4ece7884aa0ae01253d3ca9b043bbeb62c868eb7a5f,BWPool,54.37.91.117:8333,[2a01:4f8:150:3343::2]:8333,185.77.129.119:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:192:1191::2]:8333,47.91.78.239:8333,5.9.115.51:8333,5.9.87.26:8333,148.251.69.147:8333,47.254.128.197:8333
517295,000000000000000000357748011617f3c4e2983acf3ea01c869493a0a3ff28d6,BTCC,54.225.124.69:8333,121.40.242.139:8333,144.76.136.19:8333,47.91.78.239:8333,52.29.42.170:8333,176.9.125.45:8333,148.251.69.147:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,[2a01:4f8:151:8430::2]:8333,109.230.239.51:8333
517294,000000000000000000291240cb9b29715ea9a9b21109c81b28f8b96518dd2759,BTCC,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,88.99.146.100:8334,144.76.13.207:8333,74.84.128.158:9333,148.251.6.58:8333,[2a01:4f8:201:6016::2]:8333,[2620:1e6:100:1605::4]:8333,107.191.60.255:8333
517293,000000000000000000401b5587f57d0c3ec7fc131d5e3083268cf0872db1e7c6,BTC.com,Not Found
517292,0000000000000000003233a3a3e78267512afc12c738fee5e5b29c558731bba8,CanoePool,176.9.31.76:8333,[2a01:4f8:150:3343::2]:8333,94.130.9.56:8333,47.91.94.81:8333,94.130.161.228:8333,47.91.78.239:8333,52.29.42.170:8333,[2a01:4f8:13b:109e::2]:8333,[2a01:4f8:13b:4281::2]:8333,5.9.87.26:8333
517291,0000000000000000003d82d8fe5cf5e21cf00c09474a189c34baa8113a0187a2,BTC.com,119.28.69.82:8333,39.106.55.220:8333,39.106.51.68:8333,52.29.178.25:8333,[2a01:4f8:140:7334::2]:8333,[2a01:4f8:192:1191::2]:8333,139.59.167.141:8333,37.187.31.161:8333,[2a01:4f8:141:448b::2]:8333,5.9.115.51:8333
517290,00000000000000000047ab29b851ab5256153ea8f636a658980ec9f4bfa46c1b,AntPool,Not Found
517289,000000000000000000008d9806a9824ccd8b31c8686071636f1f8351673c3249,SlushPool,Not Found
517288,0000000000000000001c65c62fac28070b88e4a8abbd3f950a9d743295bdc317,SlushPool,dgs2gvxw4elsayqe.onion:8333,ep2mjzox3kvb6ax4.onion:8333,jwbtcdomx5qspvsu.onion:8333,sslnjjhnmwllysv4.onion:8333,xub4w3w4wwk56xiq.onion:8333,5hwqdbwsa55ljmdm.onion:8333,fsdtnvc3y25g7xpo.onion:8333,pxvkjp6sfb2f7foe.onion:8333,az6wancagfhf65w7.onion:8333
517287,0000000000000000000af1e2bd792c25c393ef5e024faab22cac814e12eb71fa,BitFury,5.9.65.46:8333,80.92.178.117:8333,176.9.46.231:8333,88.198.50.180:8333,144.76.136.19:8333,94.130.9.56:8333,144.76.196.35:8333,148.251.191.101:8333,136.243.233.119:8333,5.9.102.100:8333
517286,0000000000000000003aecabcff6f7c6aefbb20a00ac37c60456233c85c6f9c1,ViaBTC,148.251.4.137:8333,46.4.102.164:8002,94.130.52.104:8333,94.130.10.158:8333,[2a01:4f8:202:7227::2]:8333,148.251.75.48:8333,52.29.178.25:8333,[2a01:238:43e0:e300:40fc:d479:2098:5f34]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333
517285,0000000000000000002f54c76414ce8d1b9bfd2987377b3133c3f97d2f501321,AntPool,Not Found
517284,00000000000000000046ea1921cc536d801d96b17a654c97fb481ac4b45f8efd,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,[2a01:4f8:150:3343::2]:8333,47.91.94.81:8333,52.29.42.170:8333,94.130.161.228:8333,5.9.102.100:8333,47.91.78.239:8333,[2a01:4f8:13b:4281::2]:8333,178.33.24.77:8333
517283,00000000000000000036430b90592708d4fb2ac2ae2dec41263322c6e63cb682,BTC.com,[2a01:4f8:192:1191::2]:8333,144.76.84.146:8333,[2a01:4f8:13b:5c9::2]:8333,[2a01:4f8:201:11f1::2]:8333,195.201.109.50:8333,[2a01:4f8:200:9338::2]:8331,149.202.94.141:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:202:7227::2]:8333,148.251.21.175:8333
517282,00000000000000000033a5961d5aba5862a611811883abd38f84f8e79e9cb128,BTC.com,5.9.87.26:8333,[2a01:4f8:10a:2913::2]:8333,5.135.255.224:8333,88.99.6.54:8333,47.91.92.101:8333,178.32.49.12:8333,47.91.89.32:8333,[2a01:4f8:13b:5c9::2]:8333,[2a01:4f8:200:44e4::2]:8333,5.9.122.117:8333
517281,00000000000000000007a0598c0dfa22a62e695f8499c6e54fae5a6f13ceb3c2,BitClub,88.99.2.99:9001,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,46.166.148.218:8333,195.201.59.40:8333,88.99.150.239:8333,[2a01:4f8:b10:5009::2]:8333,176.9.32.5:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333
517280,000000000000000000171e0180e529175b64abdccf07fb5d8939c5df402770aa,F2Pool,176.9.11.143:8333,[2a01:4f8:141:5491::2]:8333,37.187.157.71:8333,[2a01:4f8:162:14ee::2]:8333,[2a01:4f8:201:11f1::2]:8333,39.106.55.220:8333,39.106.51.68:8333,52.29.178.25:8333,144.76.136.19:8333,5.9.102.100:8333
517279,0000000000000000002d312ef71bd007400a7e734166021b8e43cefb3b5f8608,AntPool,78.47.68.244:8333,[2a01:4f8:b10:5009::2]:8333,52.29.178.25:8333,94.130.161.228:8333,[2a01:4f8:150:3343::2]:8333,47.91.94.81:8333,5.9.115.51:8333,47.91.78.239:8333,52.29.42.170:8333,5.9.102.100:8333
517278,00000000000000000004f35903c2f5b44490fb28eb1e865f445412a70acf1503,AntPool,78.47.68.244:8333,52.29.178.25:8333,[2a01:4f8:b10:5009::2]:8333,94.130.9.56:8333,94.130.161.228:8333,47.91.78.239:8333,47.91.94.81:8333,52.29.42.170:8333,39.106.55.220:8333,148.251.83.196:8333
517277,00000000000000000031f5b645ddceb62287aeb4ede921dfba8ea8d1e3609409,BTC.TOP,[2a02:c207:2007:5251::1]:8333,213.136.75.253:8333,[2605:e000:1218:1ff8:baae:edff:fe72:edf]:8333,[2610:130:112:100:ad7c:4e8b:f372:790b]:8333,96.70.42.230:8333,66.18.172.16:8333,[2002:ec0:81b::ec0:81b]:21301,87.239.204.230:8333,152.186.36.86:8333,[2002:67ce:7a6e::67ce:7a6e]:21301
517276,000000000000000000338dd7dfcdad6ca4dcadccb9fcc664859f80e0fbc9f22d,BTC.com,119.28.69.82:8333,52.29.178.25:8333,39.106.55.220:8333,[2a01:4f8:b10:5009::2]:8333,39.106.51.68:8333,[2a01:4f8:141:448b::2]:8333,5.9.115.51:8333,5.9.102.100:8333,37.187.31.161:8333,47.91.78.239:8333
517275,0000000000000000003f7ab5a804ac9ccc1f60a5af1d8b134da9d6d61341b6be,ViaBTC,47.89.191.220:8333,47.89.184.214:8333,159.65.179.64:8333,34.227.114.113:8333,178.63.88.4:8333,[2a01:4f8:192:1191::2]:8333,[2a01:4f8:13b:4281::2]:8333,[2a01:4f8:200:442d::2]:8333,213.239.196.9:8333,[2a01:4f8:13b:5c9::2]:8333
517274,0000000000000000001d0572268c17bf1105f548730d3f595400621f0c1e33d5,BTC.com,47.95.211.213:8333,139.59.167.141:8333,54.36.234.238:8333,92.222.180.15:8333,18.197.112.112:8333,[2a01:4f8:140:7334::2]:8333,[2a01:4f8:200:9338::2]:8331,47.91.94.81:8333,47.91.78.239:8333,[2a01:4f8:202:7227::2]:8333
517273,0000000000000000000765e613d057c8c8e2b9aa6f869cbc7bb9c60a4fbc1a1a,BTC.TOP,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,39.106.55.220:8333,5.9.102.100:8333,39.106.51.68:8333,[2a01:4f8:141:448b::2]:8333,[2a01:4f8:13b:4281::2]:8333,94.130.9.56:8333,47.91.78.239:8333,52.29.42.170:8333
517272,00000000000000000001a953f199ba4667c553e3b882b855f661fba56af328ec,BitFury,88.99.146.100:8334,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a01:4f8:192:1191::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,148.251.75.48:8333,88.198.35.38:8333,52.29.178.25:8333,[2001:41d0:303:411c::]:8333
517271,00000000000000000028bfec52d89afeae344f998dd6d7c4b7183976874ac7d5,BTC.TOP,217.160.183.100:8333,[2001:8d8:978:9700::a9:7851]:8333,[2a01:4f8:172:1568::2]:8333,138.201.243.21:8333,178.78.213.33:8333,5.9.102.100:8333,94.130.9.56:8333,47.91.78.239:8333,[2a01:4f8:13b:4281::2]:8333,82.211.31.142:8333
517270,000000000000000000173855d066a30d10598bb537df6e9f1c5c7260c3587ff6,F2Pool,35.198.134.44:8333,195.201.20.251:8333,217.115.116.250:8333,54.194.187.115:8333,37.97.249.17:8333,[2a02:c205:0:1179::1]:8333,178.63.88.4:8333,[2a01:4f8:202:7227::2]:8333,[2a01:4d60:3:1:5::1]:8333,[2a02:120b:c3cf:45c0:28b3:1108:73ca:5072]:8333
517269,0000000000000000001b46dade082250b26422eebfc6e1788501ff480ce2fc25,AntPool,35.158.103.243:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,109.230.239.51:8333,77.163.136.136:8333,188.40.71.200:8333,[2a01:4f8:202:7227::2]:8333,82.196.96.10:8333,39.106.55.220:8333,94.130.161.228:8333,39.106.51.68:8333
517268,00000000000000000021c2176acfe5986d16bded87ab573045b100f7a6d4b9fd,BTC.com,[2a01:4f8:200:6051::2]:8333,[2a01:4f8:140:9409::2]:8002,115.239.231.84:8333,82.94.216.148:8333,46.4.102.164:8002,93.170.13.15:8333,37.187.31.161:8333,94.130.52.104:8333,[2001:41d0:2:84d4::1]:8333,85.214.234.164:8333
517267,000000000000000000314fa856af99ce96c0c4ec1f4e4beb771c601af9f5da76,SlushPool,88.99.146.100:8334,88.99.107.117:8333,88.99.146.100:8333,[2a01:4f8:10a:2aa3::2]:8333,[2a05:bec0:1:1:beee:7bff:fe88:16ba]:8333,46.166.148.218:8333,109.230.239.51:8333,88.198.35.38:8333,148.251.75.48:8333,148.251.21.175:8333
